SEASON,TEAM,G,WIN,LOSS,WIN%,PTS,OPP PTS,NET PTS,OFF RTG,DEF RTG,NET RTG,PACE
2021-22,Seattle U,28,9,19,32.10%,61.8,68.2,-6.4,86.7,95.3,-8.5,70.5
2021-22,UMES,25,9,16,36.00%,61.6,65.2,-3.6,87.4,92.3,-4.9,70.6
2021-22,Oklahoma St.,29,9,20,31.00%,57.7,61.6,-3.9,81.3,87.8,-6.4,70.5
2021-22,Rider,30,9,21,30.00%,58.3,63.7,-5.4,84.6,92.5,-7.9,68.6
2021-22,Fresno St.,27,9,18,33.30%,68.2,70.6,-2.3,98.1,101.2,-3,69.3
2021-22,Georgetown,28,9,19,32.10%,59.2,68.6,-9.5,83.8,96.7,-12.9,69
2021-22,Georgia St.,24,8,16,33.30%,63.9,69.4,-5.5,85.2,92.5,-7.3,73.5
2021-22,Miami (OH),29,8,21,27.60%,67.4,72.2,-4.8,89.1,96.3,-7.1,75.3
2021-22,Kennesaw St.,27,8,19,29.60%,58.8,66.3,-7.5,85,95.5,-10.5,69
2021-22,New Mexico St.,27,8,19,29.60%,61.7,66.4,-4.8,85.6,92.9,-7.2,70.2
2021-22,Northwestern St.,22,8,14,36.40%,60.7,65.5,-4.8,83.3,90,-6.7,72
2021-22,Wisconsin,29,8,21,27.60%,57.9,67.2,-9.3,87.3,101.8,-14.5,65.9
2021-22,Cornell,24,8,16,33.30%,52.1,61.8,-9.6,77.1,91.6,-14.5,67.2
2021-22,Denver,28,8,20,28.60%,63.4,73.1,-9.7,88.9,102.2,-13.3,69.5
2021-22,UNC Asheville,30,8,22,26.70%,59.9,68.4,-8.4,84.9,96.2,-11.4,70.5
2021-22,UNC Greensboro,27,8,19,29.60%,53.9,56.7,-2.8,81.6,86.1,-4.5,65.6
2021-22,Sacred Heart,25,8,17,32.00%,58,63.9,-5.9,82.9,91.5,-8.6,69.3
2021-22,Saint Francis (PA),30,8,22,26.70%,54.2,65.9,-11.6,82.4,100.2,-17.8,65
2021-22,Pepperdine,25,8,17,32.00%,59.6,67.5,-8,85.8,96.6,-10.7,69.3
2021-22,Marist,28,7,21,25.00%,52.2,60.6,-8.5,75.9,88,-12.1,68.6
2021-22,Hofstra,27,7,20,25.90%,51.2,62.3,-11.1,75.7,92.7,-17,67.1
2021-22,Illinois,27,7,20,25.90%,64.4,74.4,-10.1,88.4,102.1,-13.6,72.9
2021-22,CSUN,26,7,19,26.90%,55.4,64.8,-9.4,81,93.6,-12.6,67.5
2021-22,Chattanooga,30,7,23,23.30%,60.3,68.8,-8.5,85,97.2,-12.2,69.7
2021-22,Binghamton,27,7,20,25.90%,55.6,58.6,-2.9,81.6,85.9,-4.3,67.9
2021-22,Eastern Wash.,28,7,21,25.00%,58.1,65.6,-7.5,81.2,91.4,-10.2,71.7
2021-22,Evansville,29,7,22,24.10%,64.9,76.1,-11.2,85.9,100.6,-14.7,74.3
2021-22,Washington,23,7,16,30.40%,56.2,61.1,-5,85.1,92.2,-7.1,65.8
2021-22,UTSA,30,7,23,23.30%,53.9,65.7,-11.8,75.2,92.1,-16.9,70.6
2021-22,TCU,28,6,22,21.40%,60.3,73.4,-13.1,81.6,98.6,-17,73.5
2021-22,Omaha,25,6,19,24.00%,56,65.3,-9.3,81.9,94.6,-12.7,68.4
2021-22,New Hampshire,27,6,21,22.20%,52.3,62.1,-9.9,78.8,94.6,-15.8,65.7
2021-22,Lipscomb,26,6,20,23.10%,56.9,68,-11.2,82.9,98.7,-15.8,68.4
2021-22,Canisius,31,6,25,19.40%,57.8,68.6,-10.7,83.5,99.1,-15.6,68.6
2021-22,Central Ark.,25,6,19,24.00%,51.8,64.2,-12.5,76.6,96.3,-19.7,66.5
2021-22,Central Conn. St.,26,6,20,23.10%,58.3,67.7,-9.4,83.5,98.1,-14.6,69.4
2021-22,Colgate,30,6,24,20.00%,53.9,63.1,-9.2,81.4,95.3,-13.9,66.2
2021-22,Dixie St.,25,6,19,24.00%,63.3,75.5,-12.2,86.3,102.4,-16.1,72.1
2021-22,Boise St.,27,6,21,22.20%,60.3,66.8,-6.5,85.3,95.1,-9.8,70.1
2021-22,ETSU,28,6,22,21.40%,55.4,68,-12.7,80,97.6,-17.6,69.5
2021-22,Eastern Mich.,26,6,20,23.10%,64.3,72.7,-8.5,88,99.3,-11.3,73.2
2021-22,Loyola Maryland,29,5,24,17.20%,53.8,61.6,-7.8,83.5,95.8,-12.3,64.1
2021-22,Pacific,28,5,23,17.90%,67.7,78.5,-10.8,87,101.2,-14.2,77.4
2021-22,Purdue Fort Wayne,26,5,21,19.20%,58.1,67.1,-9,84.7,97.3,-12.6,68.8
2021-22,Radford,28,5,23,17.90%,56.6,69,-12.5,79.6,97.1,-17.6,71.1
2021-22,Virginia,27,5,22,18.50%,55,65.5,-10.4,79.1,94,-14.9,69.6
2021-22,Winthrop,27,5,22,18.50%,51.8,69.7,-17.9,73,97.2,-24.2,70.7
2021-22,St. Thomas (MN),26,5,21,19.20%,56.5,70.3,-13.7,82.4,102.2,-19.7,67.7
2021-22,Brown,25,5,20,20.00%,55.3,68.8,-13.4,78.1,96.4,-18.3,71.1
2021-22,South Alabama,23,5,18,21.70%,59,71.3,-12.3,79.5,95.7,-16.2,73.6
2021-22,San Jose St.,29,4,25,13.80%,60.1,78.1,-18.1,84.1,109.2,-25.1,71.5
2021-22,South Carolina St.,28,4,24,14.30%,50.4,71.3,-20.9,67.6,95.1,-27.5,74.8
2021-22,Southeast Mo. St.,27,4,23,14.80%,59.3,73.3,-14.1,81.5,101.4,-19.8,72.5
2021-22,Mississippi Val.,26,4,22,15.40%,63.7,77.2,-13.5,79.3,96.3,-16.9,79.5
2021-22,Hartford,30,4,26,13.30%,54.1,71.6,-17.5,75.9,99.8,-23.8,70.9
2021-22,CSU Bakersfield,24,4,20,16.70%,59.1,67.5,-8.4,87.2,100.4,-13.2,66.6
2021-22,Central Mich.,29,4,25,13.80%,59.2,71.6,-12.4,84,102.3,-18.4,70.2
2021-22,Chicago St.,27,4,23,14.80%,56.5,68.7,-12.2,78.7,95.5,-16.7,71.2
2021-22,Bethune-Cookman,25,4,21,16.00%,59,72.3,-13.3,78.6,95.7,-17.1,75
2021-22,New Orleans,22,4,18,18.20%,54,69.1,-15,74.8,95.7,-20.9,71.8
2021-22,Western Caro.,26,3,23,11.50%,50.2,63.2,-13,75.1,94.6,-19.5,66.2
2021-22,Wright St.,22,3,19,13.60%,58.5,70.6,-12.2,80.7,96.5,-15.8,72.9
2021-22,Portland St.,27,3,24,11.10%,58,73.1,-15.2,82.9,105.6,-22.6,69.6
2021-22,Dartmouth,26,3,23,11.50%,47,65,-18,70.1,96.5,-26.4,66.9
2021-22,Fla. Atlantic,28,3,25,10.70%,57.1,67.3,-10.1,85.3,100,-14.7,66.2
2021-22,Florida A&M,27,3,24,11.10%,54,73.9,-19.9,75.2,103.2,-28,71.3
2021-22,N.C. Central,23,3,20,13.00%,58.4,71.6,-13.1,74.3,90.6,-16.3,78.8
2021-22,Bradley,26,3,23,11.50%,57.5,69.5,-12.1,84.7,102.5,-17.8,67.4
2021-22,Cal Poly,25,3,22,12.00%,57.2,70.4,-13.2,79.9,97.4,-17.5,70.9
2021-22,Alcorn,24,2,22,8.30%,50.9,72.3,-21.5,72,101.8,-29.8,70.5
2021-22,Bellarmine,26,2,24,7.70%,58.3,75,-16.7,80.1,102.8,-22.7,72.9
2021-22,UIC,27,2,25,7.40%,53,67.6,-14.6,76.6,97.3,-20.7,69
2021-22,UMBC,25,2,23,8.00%,53.1,66.6,-13.5,80.4,100.8,-20.4,66.1
2021-22,UNCW,28,2,26,7.10%,53.8,68.8,-14.9,80.8,103.3,-22.4,66.3
2021-22,Nicholls,24,2,22,8.30%,58.6,74,-15.5,78.4,98.6,-20.1,74.5
2021-22,Charleston So.,28,2,26,7.10%,49.5,72.1,-22.6,69,100.2,-31.3,71.9
2021-22,Butler,27,1,26,3.70%,55.6,77.7,-22.1,79.3,109.7,-30.5,69.2
2021-22,Detroit Mercy,28,1,27,3.60%,55.7,69.1,-13.4,77.4,95.9,-18.5,71.7
2021-22,ULM,26,1,25,3.80%,56.8,72.7,-15.8,77.7,99.6,-21.9,72.7
2021-22,Morehead St.,27,0,27,0.00%,51.8,73.7,-21.9,76.1,108.5,-32.3,68
2021-22,Delaware St.,24,0,24,0.00%,46.8,76,-29.3,67.3,109.3,-41.9,69.1
