SEASON,TEAM,G,WIN,LOSS,WIN%,PTS,OPP PTS,NET PTS,OFF RTG,DEF RTG,NET RTG,PACE
2021-22,Charlotte,32,22,10,68.80%,63.2,59,4.3,90.2,84.9,5.3,68.2
2021-22,Colorado,31,22,9,71.00%,65.6,57.7,7.9,96.2,84,12.2,67.2
2021-22,Manhattan,32,21,11,65.60%,66.2,61.3,4.9,90.7,84,6.7,72.3
2021-22,Miami (FL),34,21,13,61.80%,60.9,58.4,2.5,88.5,84.3,4.3,69
2021-22,Arizona,29,21,8,72.40%,67.2,57.4,9.8,98.9,84.6,14.3,67.3
2021-22,Boston College,33,21,12,63.60%,72.1,65.5,6.5,97.1,89.3,7.9,73.5
2021-22,Florida,32,21,11,65.60%,68,64.8,3.3,91.6,87.2,4.4,73.7
2021-22,Kansas,31,21,10,67.70%,71.8,65.2,6.6,95.4,87,8.4,74.8
2021-22,Youngstown St.,28,21,7,75.00%,64.4,58.9,5.5,94.7,86,8.7,67
2021-22,Kansas City,30,21,9,70.00%,70.1,67.3,2.8,100.1,96.4,3.7,69.3
2021-22,Utah,33,21,12,63.60%,75.9,68.2,7.7,107.5,96.1,11.4,70.3
2021-22,Georgia,31,21,10,67.70%,68.4,59.1,9.3,94.6,82.2,12.4,71.5
2021-22,Georgia Tech,32,21,11,65.60%,60.9,52.7,8.3,91.7,79.3,12.4,65.7
2021-22,Quinnipiac,33,21,12,63.60%,67.5,60.3,7.2,94.6,84.2,10.4,70.7
2021-22,Murray St.,30,20,10,66.70%,71.7,63,8.7,105.3,91.8,13.5,67.5
2021-22,Northern Ky.,28,20,8,71.40%,65.9,59.4,6.5,95.2,85.2,10,69.2
2021-22,Maine,32,20,12,62.50%,58.3,56.8,1.6,89.5,85.9,3.6,64.6
2021-22,Montana St.,33,20,13,60.60%,68.7,68,0.7,96.9,96.4,0.5,70.4
2021-22,Campbell,28,20,8,71.40%,60,55.1,4.9,91.5,83.5,8,65.3
2021-22,Kansas St.,33,20,13,60.60%,66.1,60.6,5.5,93.6,86,7.7,70
2021-22,Alabama,34,20,14,58.80%,71.5,66.2,5.3,99.7,92.1,7.6,71.3
2021-22,Ball St.,33,20,13,60.60%,71.4,68.1,3.3,98.9,94.4,4.5,71.6
2021-22,Grand Canyon,30,20,10,66.70%,63.8,61.9,1.9,89.6,87.5,2,70.7
2021-22,Hawaii,30,20,10,66.70%,63.9,63.8,0.1,94,93.1,0.9,68.3
2021-22,Howard,30,20,10,66.70%,62.6,61.2,1.4,84.8,83.1,1.7,73.2
2021-22,UC Irvine,32,20,12,62.50%,65,61.1,3.9,93.8,88,5.8,68.7
2021-22,UT Arlington,28,20,8,71.40%,70,66.5,3.5,95.2,90.8,4.5,72.7
2021-22,Vermont,30,20,10,66.70%,61.9,53.9,8,93.5,81.7,11.9,65.8
2021-22,Southern Ill.,30,20,10,66.70%,62.8,57.3,5.5,96.9,88.2,8.8,64.9
2021-22,Tulane,30,20,10,66.70%,71.6,65.5,6.1,99.5,90.8,8.7,70.9
2021-22,Tennessee Tech,30,19,11,63.30%,64.5,62.5,2,97.2,94.2,3,66.1
2021-22,Washington St.,30,19,11,63.30%,60.1,60,0.1,89.8,90,-0.2,66.5
2021-22,Kentucky,31,19,12,61.30%,72.2,65.6,6.5,99.2,90.7,8.5,72.3
2021-22,Louisiana Tech,31,19,12,61.30%,65,60.8,4.2,94.1,87.8,6.4,68.7
2021-22,Cleveland St.,28,19,9,67.90%,67.9,60.9,7,94.8,84.6,10.2,71.5
2021-22,Colorado St.,31,19,12,61.30%,68.9,64.3,4.6,98.4,91.8,6.6,69.8
2021-22,USC Upstate,27,19,8,70.40%,64.7,60.6,4.1,94.8,88.6,6.3,68
2021-22,Oregon,31,19,12,61.30%,70.8,61.4,9.4,101.9,87.9,13.9,68.3
2021-22,Drake,33,19,14,57.60%,72.6,68.4,4.2,97.9,92.5,5.4,73.5
2021-22,Fairleigh Dickinson,31,19,12,61.30%,61,56.9,4.1,90.5,83.9,6.6,66.3
2021-22,Green Bay,27,19,8,70.40%,61.9,55.8,6.1,92.8,84.6,8.2,65.7
2021-22,Holy Cross,30,19,11,63.30%,59.8,57.2,2.5,88.8,84.6,4.2,67.2
2021-22,Fordham,29,18,11,62.10%,62.2,58.1,4.1,92.3,84.7,7.6,67.7
2021-22,Furman,32,18,14,56.30%,63.1,63.3,-0.3,91.7,92.1,-0.4,68.2
2021-22,Houston,34,18,16,52.90%,63.2,61.1,2.1,89.1,86.2,2.9,70.7
2021-22,Missouri,31,18,13,58.10%,70.5,67.5,3.1,100.7,96.3,4.4,68.7
2021-22,Montana,29,18,11,62.10%,67.4,61.1,6.3,97.6,88.5,9.1,68.5
2021-22,Stetson,30,18,12,60.00%,60.1,57.9,2.3,85.7,82.6,3.2,70.1
2021-22,Arkansas,32,18,14,56.30%,73.6,66.5,7.1,100.5,90.8,9.7,72.7
2021-22,Austin Peay,31,18,13,58.10%,65.5,61.4,4.1,97.4,91.8,5.7,66.6
2021-22,Illinois St.,32,18,14,56.30%,64.2,64.5,-0.3,96.7,96.1,0.7,66.6
